Ion.Gauge.i,Baratron.Gauge.i,Ar.MFC.i
0.00275,4.0,50.0
0.00274,4.0,50.0
0.00274,4.0,50.0
0.00272,4.0,50.0
0.00268,4.0,50.0
0.00268,4.0,50.0
0.00284,3.9,50.0
0.00289,3.8,50.0
0.00284,3.8,50.0
0.0025,3.4,50.0
0.00254,3.4,50.0
0.00252,3.4,50.0
0.00456,5.0,100.0
0.00439,4.8,100.0
0.00407,4.6,100.0
0.00401,4.5,100.0
0.00398,4.5,100.0
0.00401,4.5,100.0
0.00417,4.7,100.0
0.00436,4.8,100.0
0.00436,5.1,100.0
0.00446,5.2,100.0
0.00463,5.8,100.0
0.00459,5.7,100.0
0.00456,5.2,100.0
0.00417,4.9,100.0
0.00436,5.7,100.0
0.00453,5.6,100.0
0.00414,5.2,100.0
0.00446,5.7,100.0
0.00449,5.3,100.0
0.00414,5.0,100.0
0.00449,5.7,100.0
0.00453,5.3,100.0
0.00414,5.1,100.0
0.0047,5.7,100.0
0.00453,5.5,100.0
0.00484,5.8,100.0
0.00456,5.5,100.0
0.00482,5.8,100.0
0.00389,4.9,80.0
0.00488,6.3,100.0
0.00484,5.8,100.0
0.00389,5.0,80.0
0.00488,6.3,100.0
0.00484,5.8,100.0
0.00389,4.9,80.0
0.00488,6.3,100.0
0.00488,6.3,100.0
0.0048,5.8,100.0
0.00389,4.8,80.0
0.00486,6.2,100.0
0.00488,5.8,100.0
0.00389,4.8,80.0
0.00459,5.6,100.0
0.00389,4.8,80.0
0.00484,6.2,100.0
0.00488,5.8,100.0
0.00484,6.2,100.0
0.00484,5.8,100.0
0.00389,4.8,80.0
0.00484,6.3,100.0
0.00484,5.8,100.0
0.00389,4.9,80.0
0.00488,6.3,100.0
0.00486,5.8,100.0
0.003865,4.85,80.0
0.00484,6.3,100.0
0.0048,5.8,100.0
0.00384,4.8,80.0
0.0048,6.3,100.0
0.00488,5.8,100.0
0.00389,4.8,80.0
0.00488,6.3,100.0
0.00484,5.8,100.0
0.00389,4.9,80.0
0.00488,6.3,100.0
0.00488,5.8,100.0
0.00389,4.9,80.0
0.00488,6.3,100.0
0.00484,5.8,100.0
0.00389,4.8,80.0
0.00488,6.3,100.0
0.00484,5.8,100.0
0.00389,4.8,80.0
0.00484,6.3,100.0
0.0048,5.8,100.0
0.00384,4.9,80.0
0.00484,6.3,100.0
0.00477,5.8,100.0
0.00384,4.9,80.0
0.00484,6.3,100.0
0.00484,5.8,100.0
0.00389,4.8,80.0
0.00488,6.3,100.0
0.00484,5.8,100.0
0.003865,4.8,80.0
0.00484,6.3,100.0
0.00484,5.8,100.0
0.00389,4.8,80.0
0.0048,6.3,100.0
0.00488,5.8,100.0
0.00389,4.8,80.0
0.00484,6.3,100.0
0.00484,6.3,100.0
0.0048,6.3,100.0
0.00484,6.3,100.0
0.00484,6.3,100.0
0.00473,5.7,100.0
0.00375,4.7,80.0
0.00473,5.7,100.0
0.00375,4.7,80.0
1.34,100.0,300.0
1.33,100.0,300.0
1.665,100.0,300.0
0.00704,10.5,200.0
0.00837,13.9,300.0
0.00869,13.8,300.0
0.00875,13.8,300.0
0.00882,13.8,300.0
0.00895,13.9,300.0
0.00837,13.9,300.0
0.00849,13.9,300.0
0.00837,14.1,300.0
0.00882,13.9,300.0
0.00862,13.9,300.0
0.00862,13.9,300.0
0.00875,13.9,300.0
0.00882,13.9,300.0
0.00875,13.9,300.0
0.00456,6.2,100.0
0.00446,6.2,100.0
0.00453,6.1,100.0
0.00449,6.0,100.0
0.00453,6.0,100.0
0.00353,3.5,80.0
0.0034,3.4,80.0
0.00335,3.4,80.0
0.00333,3.3,80.0
0.00321,3.1,80.0
0.00325,3.2,80.0
0.00351,3.2,80.0
0.0032199999999999,3.2,80.0
0.00367,3.4,80.0
0.00364,3.4,80.0
0.00367,3.45,80.0
0.00404,3.7,80.0
0.00375,3.5,80.0
0.00381,3.6,80.0
0.0042,3.8,80.0
0.00417,3.8,80.0
0.00395,3.7,80.0
0.0042,3.9,80.0
0.00423,3.8,80.0
0.00392,3.8,80.0
0.0042,3.9,80.0
0.00395,3.8,80.0
0.00423,3.9,80.0
0.00423,3.9,80.0
0.00392,3.8,80.0
0.00423,3.9,80.0
0.0042,3.9,80.0
0.00423,3.8,80.0
0.00392,3.9,80.0
0.0042,4.0,80.0
0.00392,3.8,80.0
0.00423,4.0,80.0
0.00392,3.8,80.0
0.00423,3.8,80.0
0.0042,4.0,80.0
0.00423,3.9,80.0
0.00392,3.9,80.0
0.0042,4.0,80.0
0.00423,3.9,80.0
0.00389,3.8,80.0
0.0042,4.0,80.0
0.00423,3.9,80.0
0.00392,3.8,80.0
0.00423,4.0,80.0
0.00423,3.9,80.0
0.00392,3.8,80.0
0.00423,4.0,80.0
0.00423,3.9,80.0
0.00392,3.8,80.0
0.00423,3.9,80.0
0.00423,3.9,80.0
0.00392,3.9,80.0
0.00436,4.7,100.0
0.004575,4.6,100.0
0.00463,5.0,100.0
0.00384,4.1,80.0
0.00353,4.2,80.0
0.00381,4.1,80.0
0.00384,4.1,80.0
0.00359,4.2,80.0
0.00367,4.4,80.0
0.00389,4.2,80.0
0.00404,4.3,80.0
0.00372,4.5,80.0
0.00404,4.2,80.0
0.00417,4.3,80.0
0.00378,4.5,80.0
0.00417,4.3,80.0
0.00417,4.3,80.0
0.00384,4.5,80.0
0.00417,4.2,80.0
0.0042,4.3,80.0
0.00389,4.5,80.0
0.00417,4.3,80.0
0.0042,4.4,80.0
0.00389,4.5,80.0
0.0042,4.4,80.0
0.0042,4.4,80.0
0.00389,4.6,80.0
0.0042,4.3,80.0
0.0042,4.3,80.0
0.00389,4.5,80.0
0.0042,4.3,80.0
0.00417,4.3,80.0
0.003825,4.5,80.0
0.00398,4.2,80.0
0.00392,4.2,80.0
0.00392,4.2,80.0
0.00395,4.2,80.0
0.0041,4.2,80.0
0.00401,4.2,80.0
0.0041,4.2,80.0
0.00398,4.2,80.0
0.00395,4.3,80.0
0.00389,4.1,80.0
0.00407,4.1,80.0
0.00417,4.3,80.0
0.00404,4.3,80.0
0.00375,4.5,80.0
0.0041,4.3,80.0
0.0041,4.4,80.0
0.00375,4.5,80.0
0.00417,4.3,80.0
0.00389,4.1,80.0
0.00417,4.4,80.0
0.00384,4.5,80.0
0.0042,4.2,80.0
0.0041,4.4,80.0
0.00384,4.5,80.0
0.0042,4.2,80.0
0.0041,4.4,80.0
0.00463,4.9,100.0
0.00389,4.6,80.0
0.00414,4.2,80.0
0.00417,4.4,80.0
0.00378,4.4,80.0
0.00414,4.2,80.0
0.00417,4.4,80.0
0.00381,4.5,80.0
0.00417,4.2,80.0
0.00417,4.4,80.0
0.00389,4.5,80.0
0.0042,4.2,80.0
0.0042,4.4,80.0
0.00389,4.5,80.0
0.004215,4.3,80.0
0.0042,4.4,80.0
0.00389,4.5,80.0
0.0041,3.8,80.0
0.00364,3.4,80.0
0.00325,3.3,80.0
0.00313,3.2,80.0
0.00338,3.2,80.0
0.0034149999999999,3.4,80.0
0.00356,3.3,80.0
0.00389,3.8,80.0
0.00395,3.65,80.0
0.00361,3.6,80.0
0.0042,3.9,80.0
0.00417,3.8,80.0
0.00378,3.8,80.0
0.0042,3.9,80.0
0.00423,3.9,80.0
0.00423,4.0,80.0
0.00423,4.0,80.0
0.00417,3.8,80.0
0.0042,3.8,80.0
0.0042,3.8,80.0
0.0042,3.9,80.0
0.00381,3.8,80.0
0.00384,3.8,80.0
0.00389,3.8,80.0
0.00389,3.8,80.0
0.00423,4.0,80.0
0.00423,4.0,80.0
0.00423,4.0,80.0
0.00423,4.0,80.0
0.0042,3.8,80.0
0.00417,3.8,80.0
0.0042,3.9,80.0
0.0042,3.8,80.0
0.00389,3.8,80.0
0.00389,3.8,80.0
0.00389,3.8,80.0
0.00389,3.8,80.0
0.00423,4.0,80.0
0.00423,4.0,80.0
0.00423,4.0,80.0
0.00423,4.0,80.0
0.0042,3.8,80.0
0.0042,3.8,80.0
0.0042,3.8,80.0
0.0042,3.9,80.0
0.00384,3.8,80.0
0.00384,3.8,80.0
0.00389,3.8,80.0
0.00389,3.8,80.0
0.0042,4.0,80.0
0.00423,4.0,80.0
0.00423,4.0,80.0
0.00423,4.0,80.0
0.0042,3.8,80.0
0.0042,3.8,80.0
0.0042,3.9,80.0
0.0042,3.9,80.0
0.00384,3.8,80.0
0.00384,3.8,80.0
0.00389,3.8,80.0
0.00389,3.8,80.0
0.00417,4.0,80.0
0.0041,3.8,80.0
0.00378,3.9,80.0
0.00414,3.9,80.0
0.00417,3.8,80.0
0.00378,3.9,80.0
0.0042,4.0,80.0
0.0042,3.8,80.0
0.00384,3.9,80.0
0.00429,3.9,80.0
0.0042,3.8,80.0
0.00389,3.9,80.0
0.00429,3.9,80.0
0.0042,3.8,80.0
0.00389,3.9,80.0
0.00423,4.0,80.0
0.0042,3.9,80.0
0.00384,3.9,80.0
0.00423,3.9,80.0
0.0042,3.9,80.0
0.00389,3.9,80.0
0.00429,4.0,80.0
0.0042,3.9,80.0
0.00389,4.0,80.0
0.00429,4.0,80.0
0.0042,3.9,80.0
0.00389,4.0,80.0
0.00429,4.0,80.0
0.0042,3.9,80.0
0.00389,4.0,80.0
0.00429,4.0,80.0
0.0042,3.9,80.0
0.00389,4.0,80.0
0.00433,4.0,80.0
0.0042,3.9,80.0
0.00389,4.0,80.0
0.00433,4.0,80.0
0.0042,3.9,80.0
0.00389,4.0,80.0
0.00433,4.1,80.0
0.0042,3.9,80.0
0.00389,4.0,80.0
0.00433,4.1,80.0
0.00423,3.9,80.0
0.00389,4.0,80.0
0.00423,4.0,80.0
0.0042,3.9,80.0
0.00389,4.0,80.0
0.00429,4.0,80.0
0.0042,3.9,80.0
0.00389,4.0,80.0
0.00429,4.0,80.0
0.0042,3.9,80.0
0.00389,4.0,80.0
0.00381,3.7,80.0
0.00359,3.8,80.0
0.00321,3.3,80.0
0.003,3.4,80.0
0.0033,3.4,80.0
0.003145,3.7,80.0
0.00404,4.0,80.0
0.00389,4.2,80.0
0.00404,4.0,80.0
0.00389,4.2,80.0
0.00404,4.0,80.0
0.00389,4.2,80.0
0.00404,4.0,80.0
0.00389,4.2,80.0
0.00407,4.0,80.0
0.00392,4.2,80.0
0.00407,4.0,80.0
0.00392,4.2,80.0
0.00407,4.0,80.0
0.00392,4.2,80.0
0.00407,4.0,80.0
0.00389,4.2,80.0
0.00407,4.0,80.0
0.00392,4.2,80.0
0.00407,4.0,80.0
0.00392,4.2,80.0
0.00407,4.0,80.0
0.00392,4.2,80.0
0.00404,4.0,80.0
0.00392,4.2,80.0
0.00407,4.0,80.0
0.00392,4.2,80.0
0.00407,4.0,80.0
0.00392,4.15,80.0
0.00407,4.0,80.0
0.00392,4.1,80.0
0.00407,4.0,80.0
0.00392,4.2,80.0
0.00407,4.0,80.0
0.00392,4.2,80.0
0.00407,4.0,80.0
0.00392,4.1,80.0
0.00407,4.0,80.0
0.00392,4.1,80.0
0.00407,4.0,80.0
0.00392,4.1,80.0
0.00407,4.0,80.0
0.00395,4.2,80.0
0.00407,4.0,80.0
0.00407,4.0,80.0
0.00392,4.2,80.0
0.00407,4.0,80.0
0.00392,4.3,80.0
0.00407,4.0,80.0
0.00392,4.2,80.0
0.00407,4.0,80.0
0.00392,4.2,80.0
0.00407,4.0,80.0
0.00395,4.2,80.0
0.00398,3.9,80.0
0.00375,3.8,80.0
0.00398,3.8,80.0
0.00375,3.7,80.0
0.00404,3.9,80.0
0.00384,3.9,80.0
0.00404,3.9,80.0
0.00384,3.9,80.0
0.00404,3.9,80.0
0.00389,3.9,80.0
0.00407,4.0,80.0
0.00389,4.1,80.0
0.00404,4.0,80.0
0.00389,4.2,80.0
0.00407,4.0,80.0
0.00389,4.1,80.0
0.00404,4.0,80.0
