[2025-12-08 18:32:39] Starting abnormal monitor (backend diff detection)
[2025-12-08 18:32:39] MFC7_DCS | 실제값: [2025-12-08 18:32:30] [0.0] | 예측값: [2025-12-08 18:32:30] [0.0001113202] | diff_abs: 0.0001, diff_pct: 0.01% | 정상
[2025-12-08 18:32:39] MFC7_DCS | 실제값: [2025-12-08 18:32:32] [0.0] | 예측값: [2025-12-08 18:32:32] [9.098235e-05] | diff_abs: 0.0001, diff_pct: 0.01% | 정상
[2025-12-08 18:32:39] MFC7_DCS | 실제값: [2025-12-08 18:32:33] [0.0] | 예측값: [2025-12-08 18:32:33] [-1.8276596e-05] | diff_abs: 0.0000, diff_pct: 0.00% | 정상
[2025-12-08 18:32:39] MFC7_DCS | 실제값: [2025-12-08 18:32:34] [0.0] | 예측값: [2025-12-08 18:32:34] [0.0006229585] | diff_abs: 0.0006, diff_pct: 0.06% | 정상
[2025-12-08 18:32:39] MFC7_DCS | 실제값: [2025-12-08 18:32:35] [0.0] | 예측값: [2025-12-08 18:32:35] [-0.000116591415] | diff_abs: 0.0001, diff_pct: 0.01% | 정상
[2025-12-08 18:32:39] MFC7_DCS | 실제값: [2025-12-08 18:32:36] [0.0] | 예측값: [2025-12-08 18:32:36] [-4.0073664e-05] | diff_abs: 0.0000, diff_pct: 0.00% | 정상
[2025-12-08 18:32:39] MFC7_DCS | 실제값: [2025-12-08 18:32:37] [0.0] | 예측값: [2025-12-08 18:32:37] [3.1063213e-05] | diff_abs: 0.0000, diff_pct: 0.00% | 정상
[2025-12-08 18:32:39] MFC7_DCS | 실제값: [2025-12-08 18:32:38] [0.0] | 예측값: [2025-12-08 18:32:38] [0.00014223739] | diff_abs: 0.0001, diff_pct: 0.01% | 정상
[2025-12-08 18:32:39] MFC8_NH3 | 실제값: [2025-12-08 18:32:30] [0.0] | 예측값: [2025-12-08 18:32:30] [-0.009671267] | diff_abs: 0.0097, diff_pct: 0.97% | 정상
[2025-12-08 18:32:39] MFC8_NH3 | 실제값: [2025-12-08 18:32:32] [0.0] | 예측값: [2025-12-08 18:32:32] [-0.0070964457] | diff_abs: 0.0071, diff_pct: 0.71% | 정상
[2025-12-08 18:32:39] MFC8_NH3 | 실제값: [2025-12-08 18:32:33] [0.0] | 예측값: [2025-12-08 18:32:33] [-0.0034277553] | diff_abs: 0.0034, diff_pct: 0.34% | 정상
[2025-12-08 18:32:39] MFC8_NH3 | 실제값: [2025-12-08 18:32:34] [0.0] | 예측값: [2025-12-08 18:32:34] [-0.0052763796] | diff_abs: 0.0053, diff_pct: 0.53% | 정상
[2025-12-08 18:32:39] MFC8_NH3 | 실제값: [2025-12-08 18:32:35] [0.0] | 예측값: [2025-12-08 18:32:35] [-0.013960699] | diff_abs: 0.0140, diff_pct: 1.40% | 정상
[2025-12-08 18:32:39] MFC8_NH3 | 실제값: [2025-12-08 18:32:36] [0.0] | 예측값: [2025-12-08 18:32:36] [-0.0033574104] | diff_abs: 0.0034, diff_pct: 0.34% | 정상
[2025-12-08 18:32:39] MFC8_NH3 | 실제값: [2025-12-08 18:32:37] [0.0] | 예측값: [2025-12-08 18:32:37] [-0.009157094] | diff_abs: 0.0092, diff_pct: 0.92% | 정상
[2025-12-08 18:32:39] MFC8_NH3 | 실제값: [2025-12-08 18:32:38] [0.0] | 예측값: [2025-12-08 18:32:38] [-0.0132495845] | diff_abs: 0.0132, diff_pct: 1.32% | 정상
[2025-12-08 18:32:39] MFC1_N2-1 | 실제값: [2025-12-08 18:32:30] [1.392] | 예측값: [2025-12-08 18:32:30] [1.0440899] | diff_abs: 0.3479, diff_pct: 24.99% | 이상
[2025-12-08 18:32:39] MFC1_N2-1 | 실제값: [2025-12-08 18:32:32] [0.996] | 예측값: [2025-12-08 18:32:32] [0.99444926] | diff_abs: 0.0016, diff_pct: 0.16% | 정상
[2025-12-08 18:32:39] MFC1_N2-1 | 실제값: [2025-12-08 18:32:33] [0.999] | 예측값: [2025-12-08 18:32:33] [0.98569995] | diff_abs: 0.0133, diff_pct: 1.33% | 정상
[2025-12-08 18:32:39] MFC1_N2-1 | 실제값: [2025-12-08 18:32:34] [0.999] | 예측값: [2025-12-08 18:32:34] [0.9829292] | diff_abs: 0.0161, diff_pct: 1.61% | 정상
[2025-12-08 18:32:39] MFC1_N2-1 | 실제값: [2025-12-08 18:32:35] [0.894] | 예측값: [2025-12-08 18:32:35] [0.8375114] | diff_abs: 0.0565, diff_pct: 6.32% | 정상
[2025-12-08 18:32:39] MFC1_N2-1 | 실제값: [2025-12-08 18:32:36] [0.592] | 예측값: [2025-12-08 18:32:36] [0.5313522] | diff_abs: 0.0606, diff_pct: 10.24% | 정상
[2025-12-08 18:32:39] MFC1_N2-1 | 실제값: [2025-12-08 18:32:37] [0.293] | 예측값: [2025-12-08 18:32:37] [0.21752752] | diff_abs: 0.0755, diff_pct: 25.76% | 정상
[2025-12-08 18:32:39] MFC1_N2-1 | 실제값: [2025-12-08 18:32:38] [0.243] | 예측값: [2025-12-08 18:32:38] [0.24390644] | diff_abs: 0.0009, diff_pct: 0.37% | 정상
[2025-12-08 18:32:39] MFC2_N2-2 | 실제값: [2025-12-08 18:32:30] [0.0] | 예측값: [2025-12-08 18:32:30] [0.006637047] | diff_abs: 0.0066, diff_pct: 0.66% | 정상
[2025-12-08 18:32:39] MFC2_N2-2 | 실제값: [2025-12-08 18:32:32] [0.0] | 예측값: [2025-12-08 18:32:32] [0.008940131] | diff_abs: 0.0089, diff_pct: 0.89% | 정상
[2025-12-08 18:32:39] MFC2_N2-2 | 실제값: [2025-12-08 18:32:33] [0.0] | 예측값: [2025-12-08 18:32:33] [0.008670703] | diff_abs: 0.0087, diff_pct: 0.87% | 정상
[2025-12-08 18:32:39] MFC2_N2-2 | 실제값: [2025-12-08 18:32:34] [0.0] | 예측값: [2025-12-08 18:32:34] [0.008445739] | diff_abs: 0.0084, diff_pct: 0.84% | 정상
[2025-12-08 18:32:39] MFC2_N2-2 | 실제값: [2025-12-08 18:32:35] [0.0] | 예측값: [2025-12-08 18:32:35] [0.009540421] | diff_abs: 0.0095, diff_pct: 0.95% | 정상
[2025-12-08 18:32:39] MFC2_N2-2 | 실제값: [2025-12-08 18:32:36] [0.0] | 예측값: [2025-12-08 18:32:36] [0.011738149] | diff_abs: 0.0117, diff_pct: 1.17% | 정상
[2025-12-08 18:32:39] MFC2_N2-2 | 실제값: [2025-12-08 18:32:37] [0.0] | 예측값: [2025-12-08 18:32:37] [0.010964722] | diff_abs: 0.0110, diff_pct: 1.10% | 정상
[2025-12-08 18:32:39] MFC2_N2-2 | 실제값: [2025-12-08 18:32:38] [0.0] | 예측값: [2025-12-08 18:32:38] [0.010057356] | diff_abs: 0.0101, diff_pct: 1.01% | 정상
[2025-12-08 18:32:39] MFC3_N2-3 | 실제값: [2025-12-08 18:32:30] [0.0] | 예측값: [2025-12-08 18:32:30] [0.013820125] | diff_abs: 0.0138, diff_pct: 1.38% | 정상
[2025-12-08 18:32:39] MFC3_N2-3 | 실제값: [2025-12-08 18:32:32] [0.274] | 예측값: [2025-12-08 18:32:32] [0.46522823] | diff_abs: 0.1912, diff_pct: 69.79% | 이상
[2025-12-08 18:32:39] MFC3_N2-3 | 실제값: [2025-12-08 18:32:33] [0.996] | 예측값: [2025-12-08 18:32:33] [0.98229814] | diff_abs: 0.0137, diff_pct: 1.38% | 정상
[2025-12-08 18:32:39] MFC3_N2-3 | 실제값: [2025-12-08 18:32:34] [0.996] | 예측값: [2025-12-08 18:32:34] [0.9840848] | diff_abs: 0.0119, diff_pct: 1.20% | 정상
[2025-12-08 18:32:39] MFC3_N2-3 | 실제값: [2025-12-08 18:32:35] [0.996] | 예측값: [2025-12-08 18:32:35] [0.9738391] | diff_abs: 0.0222, diff_pct: 2.22% | 정상
[2025-12-08 18:32:39] MFC3_N2-3 | 실제값: [2025-12-08 18:32:36] [0.996] | 예측값: [2025-12-08 18:32:36] [0.9880049] | diff_abs: 0.0080, diff_pct: 0.80% | 정상
[2025-12-08 18:32:39] MFC3_N2-3 | 실제값: [2025-12-08 18:32:37] [0.996] | 예측값: [2025-12-08 18:32:37] [0.98522866] | diff_abs: 0.0108, diff_pct: 1.08% | 정상
[2025-12-08 18:32:39] MFC3_N2-3 | 실제값: [2025-12-08 18:32:38] [0.996] | 예측값: [2025-12-08 18:32:38] [0.9915173] | diff_abs: 0.0045, diff_pct: 0.45% | 정상
[2025-12-08 18:32:39] MFC4_N2-4 | 실제값: [2025-12-08 18:32:30] [0.12] | 예측값: [2025-12-08 18:32:30] [0.45630437] | diff_abs: 0.3363, diff_pct: 280.25% | 이상
[2025-12-08 18:32:39] MFC4_N2-4 | 실제값: [2025-12-08 18:32:32] [0.501] | 예측값: [2025-12-08 18:32:32] [0.50294995] | diff_abs: 0.0019, diff_pct: 0.39% | 정상
[2025-12-08 18:32:39] MFC4_N2-4 | 실제값: [2025-12-08 18:32:33] [0.501] | 예측값: [2025-12-08 18:32:33] [0.49961752] | diff_abs: 0.0014, diff_pct: 0.28% | 정상
[2025-12-08 18:32:39] MFC4_N2-4 | 실제값: [2025-12-08 18:32:34] [0.501] | 예측값: [2025-12-08 18:32:34] [0.50162935] | diff_abs: 0.0006, diff_pct: 0.13% | 정상
[2025-12-08 18:32:39] MFC4_N2-4 | 실제값: [2025-12-08 18:32:35] [0.501] | 예측값: [2025-12-08 18:32:35] [0.5011802] | diff_abs: 0.0002, diff_pct: 0.04% | 정상
[2025-12-08 18:32:39] MFC4_N2-4 | 실제값: [2025-12-08 18:32:36] [0.501] | 예측값: [2025-12-08 18:32:36] [0.49787503] | diff_abs: 0.0031, diff_pct: 0.62% | 정상
[2025-12-08 18:32:39] MFC4_N2-4 | 실제값: [2025-12-08 18:32:37] [0.501] | 예측값: [2025-12-08 18:32:37] [0.49902755] | diff_abs: 0.0020, diff_pct: 0.39% | 정상
[2025-12-08 18:32:39] MFC4_N2-4 | 실제값: [2025-12-08 18:32:38] [0.501] | 예측값: [2025-12-08 18:32:38] [0.5000773] | diff_abs: 0.0009, diff_pct: 0.18% | 정상
[2025-12-08 18:32:40] MFC7_DCS | 실제값: [2025-12-08 18:32:38] [0.0] | 예측값: [2025-12-08 18:32:38] [0.00014223739] | diff_abs: 0.0001, diff_pct: 0.01% | 정상
[2025-12-08 18:32:40] MFC7_DCS | 실제값: [2025-12-08 18:32:39] [0.0] | 예측값: [2025-12-08 18:32:39] [0.0005178036] | diff_abs: 0.0005, diff_pct: 0.05% | 정상
[2025-12-08 18:32:40] MFC8_NH3 | 실제값: [2025-12-08 18:32:38] [0.0] | 예측값: [2025-12-08 18:32:38] [-0.0132495845] | diff_abs: 0.0132, diff_pct: 1.32% | 정상
[2025-12-08 18:32:40] MFC8_NH3 | 실제값: [2025-12-08 18:32:39] [0.0] | 예측값: [2025-12-08 18:32:39] [-0.009791682] | diff_abs: 0.0098, diff_pct: 0.98% | 정상
[2025-12-08 18:32:40] MFC1_N2-1 | 실제값: [2025-12-08 18:32:38] [0.243] | 예측값: [2025-12-08 18:32:38] [0.24390644] | diff_abs: 0.0009, diff_pct: 0.37% | 정상
[2025-12-08 18:32:40] MFC1_N2-1 | 실제값: [2025-12-08 18:32:39] [0.542] | 예측값: [2025-12-08 18:32:39] [0.5905462] | diff_abs: 0.0485, diff_pct: 8.96% | 정상
[2025-12-08 18:32:40] MFC2_N2-2 | 실제값: [2025-12-08 18:32:38] [0.0] | 예측값: [2025-12-08 18:32:38] [0.010057356] | diff_abs: 0.0101, diff_pct: 1.01% | 정상
[2025-12-08 18:32:40] MFC2_N2-2 | 실제값: [2025-12-08 18:32:39] [0.0] | 예측값: [2025-12-08 18:32:39] [0.007848703] | diff_abs: 0.0078, diff_pct: 0.78% | 정상
[2025-12-08 18:32:40] MFC3_N2-3 | 실제값: [2025-12-08 18:32:38] [0.996] | 예측값: [2025-12-08 18:32:38] [0.9915173] | diff_abs: 0.0045, diff_pct: 0.45% | 정상
[2025-12-08 18:32:40] MFC3_N2-3 | 실제값: [2025-12-08 18:32:39] [0.996] | 예측값: [2025-12-08 18:32:39] [0.99254006] | diff_abs: 0.0035, diff_pct: 0.35% | 정상
[2025-12-08 18:32:40] MFC4_N2-4 | 실제값: [2025-12-08 18:32:38] [0.501] | 예측값: [2025-12-08 18:32:38] [0.5000773] | diff_abs: 0.0009, diff_pct: 0.18% | 정상
[2025-12-08 18:32:40] MFC4_N2-4 | 실제값: [2025-12-08 18:32:39] [0.501] | 예측값: [2025-12-08 18:32:39] [0.49945828] | diff_abs: 0.0015, diff_pct: 0.31% | 정상
[2025-12-08 18:32:41] MFC7_DCS | 실제값: [2025-12-08 18:32:39] [0.0] | 예측값: [2025-12-08 18:32:39] [0.0005178036] | diff_abs: 0.0005, diff_pct: 0.05% | 정상
[2025-12-08 18:32:41] MFC7_DCS | 실제값: [2025-12-08 18:32:40] [0.0] | 예측값: [2025-12-08 18:32:40] [0.001206737] | diff_abs: 0.0012, diff_pct: 0.12% | 정상
[2025-12-08 18:32:41] MFC8_NH3 | 실제값: [2025-12-08 18:32:39] [0.0] | 예측값: [2025-12-08 18:32:39] [-0.009791682] | diff_abs: 0.0098, diff_pct: 0.98% | 정상
[2025-12-08 18:32:41] MFC8_NH3 | 실제값: [2025-12-08 18:32:40] [0.0] | 예측값: [2025-12-08 18:32:40] [-0.010539884] | diff_abs: 0.0105, diff_pct: 1.05% | 정상
[2025-12-08 18:32:41] MFC1_N2-1 | 실제값: [2025-12-08 18:32:39] [0.542] | 예측값: [2025-12-08 18:32:39] [0.5905462] | diff_abs: 0.0485, diff_pct: 8.96% | 정상
[2025-12-08 18:32:41] MFC1_N2-1 | 실제값: [2025-12-08 18:32:40] [0.853] | 예측값: [2025-12-08 18:32:40] [0.8820534] | diff_abs: 0.0291, diff_pct: 3.41% | 정상
[2025-12-08 18:32:41] MFC2_N2-2 | 실제값: [2025-12-08 18:32:39] [0.0] | 예측값: [2025-12-08 18:32:39] [0.007848703] | diff_abs: 0.0078, diff_pct: 0.78% | 정상
[2025-12-08 18:32:41] MFC2_N2-2 | 실제값: [2025-12-08 18:32:40] [0.0] | 예측값: [2025-12-08 18:32:40] [0.008727563] | diff_abs: 0.0087, diff_pct: 0.87% | 정상
[2025-12-08 18:32:41] MFC3_N2-3 | 실제값: [2025-12-08 18:32:39] [0.996] | 예측값: [2025-12-08 18:32:39] [0.99254006] | diff_abs: 0.0035, diff_pct: 0.35% | 정상
[2025-12-08 18:32:41] MFC3_N2-3 | 실제값: [2025-12-08 18:32:40] [0.996] | 예측값: [2025-12-08 18:32:40] [0.9884266] | diff_abs: 0.0076, diff_pct: 0.76% | 정상
[2025-12-08 18:32:41] MFC4_N2-4 | 실제값: [2025-12-08 18:32:39] [0.501] | 예측값: [2025-12-08 18:32:39] [0.49945828] | diff_abs: 0.0015, diff_pct: 0.31% | 정상
[2025-12-08 18:32:41] MFC4_N2-4 | 실제값: [2025-12-08 18:32:40] [0.501] | 예측값: [2025-12-08 18:32:40] [0.4998212] | diff_abs: 0.0012, diff_pct: 0.24% | 정상
[2025-12-08 18:32:42] MFC7_DCS | 실제값: [2025-12-08 18:32:40] [0.0] | 예측값: [2025-12-08 18:32:40] [0.001206737] | diff_abs: 0.0012, diff_pct: 0.12% | 정상
[2025-12-08 18:32:42] MFC7_DCS | 실제값: [2025-12-08 18:32:41] [0.0] | 예측값: [2025-12-08 18:32:41] [0.00074598886] | diff_abs: 0.0007, diff_pct: 0.07% | 정상
[2025-12-08 18:32:42] MFC8_NH3 | 실제값: [2025-12-08 18:32:40] [0.0] | 예측값: [2025-12-08 18:32:40] [-0.010539884] | diff_abs: 0.0105, diff_pct: 1.05% | 정상
[2025-12-08 18:32:42] MFC8_NH3 | 실제값: [2025-12-08 18:32:41] [0.0] | 예측값: [2025-12-08 18:32:41] [-0.010256898] | diff_abs: 0.0103, diff_pct: 1.03% | 정상
[2025-12-08 18:32:42] MFC1_N2-1 | 실제값: [2025-12-08 18:32:40] [0.853] | 예측값: [2025-12-08 18:32:40] [0.8820534] | diff_abs: 0.0291, diff_pct: 3.41% | 정상
[2025-12-08 18:32:42] MFC1_N2-1 | 실제값: [2025-12-08 18:32:41] [0.999] | 예측값: [2025-12-08 18:32:41] [1.0194681] | diff_abs: 0.0205, diff_pct: 2.05% | 정상
[2025-12-08 18:32:42] MFC2_N2-2 | 실제값: [2025-12-08 18:32:40] [0.0] | 예측값: [2025-12-08 18:32:40] [0.008727563] | diff_abs: 0.0087, diff_pct: 0.87% | 정상
[2025-12-08 18:32:42] MFC2_N2-2 | 실제값: [2025-12-08 18:32:41] [0.0] | 예측값: [2025-12-08 18:32:41] [0.008740577] | diff_abs: 0.0087, diff_pct: 0.87% | 정상
[2025-12-08 18:32:42] MFC3_N2-3 | 실제값: [2025-12-08 18:32:40] [0.996] | 예측값: [2025-12-08 18:32:40] [0.9884266] | diff_abs: 0.0076, diff_pct: 0.76% | 정상
[2025-12-08 18:32:42] MFC3_N2-3 | 실제값: [2025-12-08 18:32:41] [0.996] | 예측값: [2025-12-08 18:32:41] [0.9862671] | diff_abs: 0.0097, diff_pct: 0.98% | 정상
[2025-12-08 18:32:42] MFC4_N2-4 | 실제값: [2025-12-08 18:32:40] [0.501] | 예측값: [2025-12-08 18:32:40] [0.4998212] | diff_abs: 0.0012, diff_pct: 0.24% | 정상
[2025-12-08 18:32:42] MFC4_N2-4 | 실제값: [2025-12-08 18:32:41] [0.501] | 예측값: [2025-12-08 18:32:41] [0.49941504] | diff_abs: 0.0016, diff_pct: 0.32% | 정상
[2025-12-08 18:32:43] MFC7_DCS | 실제값: [2025-12-08 18:32:41] [0.0] | 예측값: [2025-12-08 18:32:41] [0.00074598886] | diff_abs: 0.0007, diff_pct: 0.07% | 정상
[2025-12-08 18:32:43] MFC7_DCS | 실제값: [2025-12-08 18:32:42] [0.0] | 예측값: [2025-12-08 18:32:42] [0.0010456758] | diff_abs: 0.0010, diff_pct: 0.10% | 정상
